Designator,Footprint,Quantity,Value,LCSC Part #
C10,0402,1,4.7uF,C23733 
"C11, C13, C14, C15, C16, C17, C19, C21, C24, C25, C26, C27, C28, C4, C6, C8, C9",0402,17,0.1uF,C1525 
"C12, C22, C23, C29",0603,4,10uF,C6119867
"C18, C20",0402,2,10nF,C15195 
"C3, C5",0402,2,1uF,C52923 
D3,0603,1,LED1,C2288
D4,0603,1,LED2,C2288
D5,0603,1,Power,C2288
FB2,0603,1,FerriteBead_Small,C304464
J3,FTSH_107_01_L_DV_K,1,Prog_Header,C5307809 
"R1, R11, R12, R2, R7",0603,5,10k,C95204 
R14,0402,1,12.4k,C11692 
"R15, R16, R17",0603,3,270,C22369858 
"R18, R19",0603,2,330,C23138 
"R3, R4, R5, R8",0402,4,33,C25105 
SW1,SW_TS04-66-55-BK-260-SMT,1,BOOT0,C4364989
SW2,SW_TS04-66-55-BK-260-SMT,1,RESET,C4364989
U4,ADS131M02-Q1,1,ADS131M02QPWRQ1,C5549016 
U5,LQFP-32_7x7mm_P0.8mm,1,STM32G031K8Tx,C529348 
U6,AT25SF128A-SHB-T,1,AT25SF128A-SHB-T,C5775693 
U7,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843 
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,8.192MHz,C2599589 
Y2,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,25MHz,C1988484 
