Designator,Mid X,Mid Y,Rotation,Layer
C10,219.4754,-47.7266,270.0,top
C11,220.4914,-47.7266,270.0,top
C12,230.2764,-67.8429,270.0,top
C13,229.2604,-67.8434,90.0,top
C14,216.281,-63.2937,0.0,top
C15,216.3826,-65.786,0.0,top
C16,216.3826,-67.818,0.0,top
C17,220.3222,-71.0915,90.0,top
C18,225.5266,-71.0635,270.0,top
C19,221.3382,-71.0915,90.0,top
C20,223.2406,-71.0635,90.0,top
C21,224.381,-71.2952,90.0,top
C22,208.661,-29.083,90.0,top
C23,208.661,-32.484,90.0,top
C24,221.234,-42.799,180.0,top
C25,233.6292,-68.7578,180.0,top
C26,240.1692,-68.417,0.0,top
C27,235.9152,-66.6496,270.0,top
C28,223.4692,-40.4876,270.0,top
C3,244.376,-47.895,180.0,top
C4,244.348,-46.879,180.0,top
C5,239.24,-47.895,0.0,top
C6,239.268,-46.879,0.0,top
C8,237.236,-45.129,270.0,top
C9,219.964,-49.657,270.0,top
D3,236.8042,-57.8612,90.0,top
D4,241.9858,-57.8612,90.0,top
D5,212.09,-33.782,270.0,top
FB2,215.265,-70.739,0.0,top
J1,206.375,-66.675,0.0,bottom
J2,250.825,-44.704,0.0,bottom
J3,223.901,-32.909,0.0,top
J4,240.157,-35.449,270.0,top
J5,243.5982,-72.1,90.0,top
J6,218.186,-43.3782,0.0,top
J8,206.375,-31.115,180.0,bottom
R1,234.2642,-38.0652,0.0,top
R11,224.3328,-27.94,180.0,top
R12,220.472,-28.3464,0.0,top
R14,216.3826,-66.802,180.0,top
R15,235.204,-56.261,270.0,top
R16,240.284,-56.2865,270.0,top
R17,209.9564,-33.782,270.0,top
R18,211.9884,-72.5932,180.0,top
R19,211.9884,-74.3204,180.0,top
R2,251.968,-69.5452,180.0,top
R3,231.8512,-41.8084,180.0,top
R4,225.5012,-39.3192,270.0,top
R5,220.726,-52.7304,270.0,top
R7,248.2596,-69.5452,180.0,top
R8,232.918,-48.6156,0.0,top
SW1,209.7163,-42.1746,180.0,top
SW2,209.7498,-49.5406,180.0,top
TP1,230.9114,-65.3542,0.0,top
TP2,218.4146,-38.8874,0.0,top
TP3,234.5944,-46.8376,0.0,top
U4,241.77625,-42.773999,180.0,top
U5,226.314,-47.641,270.0,top
U6,244.3602,-65.369,180.0,top
U7,222.885,-64.77,270.0,top
Y1,221.488,-40.5384,180.0,top
Y2,233.68,-66.3956,180.0,top
