Item #,Quantity per board,Manufacturer Part #,Do Not Install,Reference designators,Vendor (optional),Vendor Part Number (optional),Value (optional),Size / Footprint  (optional),"Part description/ specs (optional, but recommended)",Manfacturer (optional)
1,2,CL10B103KB8NNNC,,"C1, C2",,,10nF,402,,
2,2,CL10A105KO8NNNC,,"C3, C5",,,1uF,402,,
3,15,CL05B104KO5NNNC,,"C4, C6, C8, C9, C11, C13, C14, C15, C16, C17, C19, C21, C24, C25, C26",,,0.1uF,402,,
4,1,CL10B472KB8NNNC,,C10,,,4.7uF,402,,
5,5,CL21A106KOQNNNE,,"C12, C18, C20, C22, C23",,,10uF,402,,
6,3,SMLEN3BC8TT86,,"D3, D4, D5",,,,,,
7,2,BLM21BB121SN1D,,"FB1, FB2",,,FerriteBead_Small,,,
8,1,,DNI,J1,,,Ethernet,,,
9,1,FTSH-107-01-L-DV-K,,J3,,,Conn_ST_STDC14,,,
10,1,10129378-905001BLF-ND,,J4,,,SPI1,,,
11,1,10129378-906001BLF-ND,,J5,,,SPI2,,,
12,1,,DNI,J6,,,Sensors,,,
13,1,,DNI,J8,,,Power,,,
14,5,ERJ-2GEJ103X,,"R1, R2, R7, R11, R12",,,10k,402,,
15,4,ERJ-2RKF49R9X,,"R3, R4, R5, R6",,,49.9,402,,
16,1,ERJ-2RKF1242X,,R14,,,12.4k,402,,
17,3,ERJ-2RKF2700X,,"R15, R16, R17",,,270,402,,
18,2,TS04-66-55-BK-260-SMT,,"SW1, SW2",,,,,,
21,1,ADS131M02IPWR,,U4,,,ADS131M02QPWRQ1,,,
22,1,STM32G031K8T6,,U5,,,STM32G031K6Tx,,,
23,1,AT25SF128A-SHB-T,,U6,,,AT25SF128A-SHB-T,,,
24,1,W5500,,U7,,,W5500,,,
25,1,ECS-2520MVLC-081.92-BN-TR,,Y1,,,8.192MHz,,,
26,1,KC2520Z25.0000C1KX00,,Y2,,,KC2520Z,,,
