Designator,Mid X,Mid Y,Rotation,Layer
C1,106.553,-123.6525,180.0,top
C14,170.0784,-122.428,270.0,top
C15,171.9072,-115.6208,0.0,top
C16,172.1612,-122.428,270.0,top
C17,173.8376,-120.396,90.0,top
C18,168.6052,-116.4336,180.0,top
C2,119.2784,-105.918,0.0,top
C20,150.961551,-111.3663,0.0,top
C21,154.136551,-111.3663,180.0,top
C3,119.2276,-113.4872,0.0,top
C4,168.297051,-134.49,180.0,top
C5,164.741051,-134.49,0.0,top
C6,153.3144,-132.147621,270.0,top
C7,153.3652,-126.2888,90.0,top
D1,121.4489,-109.7609,180.0,top
D11,181.737,-113.792,0.0,top
D12,189.0268,-93.1672,270.0,top
D13,189.0268,-87.7824,90.0,top
D14,188.9912,-67.7441,270.0,top
D15,188.9912,-62.4101,90.0,top
D2,121.4628,-117.2097,180.0,top
D3,128.2192,-120.3452,270.0,top
D4,162.328051,-120.12925,90.0,top
D5,181.356,-128.9304,90.0,top
D6,185.3184,-128.9304,90.0,top
D7,158.645051,-120.12925,90.0,top
D8,132.588,-134.366,270.0,top
F1,122.7709,-133.2738,0.0,top
J10,179.451,-76.581,90.0,top
J11,147.701,-76.581,90.0,top
J12,139.7,-71.9074,270.0,top
J13,106.522249,-113.4925,90.0,top
J2,103.0835,-130.678,270.0,top
J3,194.965,-88.717,90.0,top
J4,194.965,-63.317,90.0,top
J5,194.965,-115.867,90.0,top
J7,95.25,-58.293,270.0,top
J8,95.25,-93.853,90.0,top
JP1,148.082,-130.81,180.0,top
JP2,167.386,-103.0351,270.0,top
JP3,167.386,-98.9076,270.0,top
JP4,167.386,-52.832,270.0,top
JP5,167.386,-56.9976,270.0,top
JP6,161.566051,-112.268,90.0,top
PS1,166.519051,-130.553,0.0,top
R1,119.2784,-104.2416,180.0,top
R10,185.3204,-126.3904,270.0,top
R11,158.658801,-117.46425,270.0,top
R4,168.8592,-114.6556,180.0,top
R5,174.5996,-116.332,0.0,top
R6,165.9636,-116.4336,0.0,top
R7,174.1424,-117.9068,90.0,top
R8,162.328051,-117.46225,270.0,top
R9,181.356,-126.3904,270.0,top
TP1,128.905,-125.476,0.0,top
TP10,160.401,-98.9076,180.0,top
TP11,160.401,-52.832,180.0,top
TP12,160.401,-57.277,180.0,top
TP14,156.359051,-123.698,0.0,top
TP2,128.143,-110.0635,0.0,top
TP3,148.082,-124.841,0.0,top
TP4,158.1404,-130.9624,0.0,top
TP5,169.037,-136.522,0.0,top
TP6,150.136051,-109.347,0.0,top
TP7,160.401,-103.0351,180.0,top
TP8,174.1932,-113.4364,90.0,top
TP9,167.408051,-112.395,90.0,top
U2,170.706051,-118.977,0.0,top
U3,152.485551,-117.0813,90.0,top
U4,138.0285,-119.38,180.0,top
