Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4, C5, C9",0603,6,0.1uF,C14663 
"C11, C3",0603,2,0.62nF,C2961268 
"C6, C7, C8",0805,3,10uF,C440198 
"R1, R12, R2, R7",0603,4,100,C122970
"R10, R18",0603,2,2k,C136954
"R13, R14, R3",0603,3,10M,C7250 
"R16, R17, R6, R9",0603,4,10k,C95204 
"R20, R8",0603,2,1k,C110776
R4,0603,1,10M,C7250
"SW1, SW3",SW_DIP_SPSTx02_Slide_KingTek_DSHP02TJ_W5.25mm_P1.27mm_JPin,2,Returns,C3293149 
"SW2, SW4",SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,2,Feedbacks,C5123689 
"U1, U3",MSOP-8_3x3mm_P0.65mm,2,AD8422ARMZ,C668395 
U2,OPA2182,1,OPA2182,C2873420 
