Designator,Mid X,Mid Y,Rotation,Layer
C1,197.0786,-59.182,90.0,top
C10,197.866,-62.103,0.0,top
C11,207.899,-65.532,90.0,top
C2,193.7766,-54.229,180.0,top
C3,207.2894,-57.4802,180.0,top
C4,206.197612,-63.0428,90.0,top
C5,198.754588,-59.817,270.0,top
C6,181.356,-50.4952,0.0,top
C7,181.2798,-71.247,0.0,top
C8,208.661,-54.356,180.0,top
C9,194.056,-67.691,180.0,top
J1,180.3654,-60.8838,0.0,bottom
J2,212.1154,-60.8838,0.0,bottom
R1,183.896,-59.055,0.0,top
R10,205.7786,-50.673,0.0,top
R12,183.007,-65.151,90.0,top
R13,185.2676,-76.073,180.0,top
R14,188.785,-76.073,0.0,top
R16,197.104,-64.897,270.0,top
R17,205.676,-69.469,0.0,top
R18,205.676,-71.247,0.0,top
R2,183.134,-56.642,270.0,top
R20,204.089,-66.294,0.0,top
R3,188.6966,-45.593,0.0,top
R4,185.3946,-45.593,180.0,top
R6,197.0786,-55.88,90.0,top
R7,183.769,-62.484,0.0,top
R8,207.264,-59.055,0.0,top
R9,205.7776,-49.022,0.0,top
SW1,187.0202,-50.7238,270.0,top
SW2,199.7456,-50.673,0.0,top
SW3,187.0456,-70.951,270.0,top
SW4,199.7456,-71.247,0.0,top
TP1,194.1576,-50.673,180.0,top
TP2,193.929,-71.247,0.0,top
U1,192.3796,-57.785,270.0,top
U2,202.438,-61.4172,270.0,top
U3,192.3796,-64.008,270.0,top
