frequency,V(/Sc1-) (phase),V(/Sc1-) (gain),V(/Sc2-) (phase),V(/Sc2-) (gain),Column1,,,,
0.1,-2.95506E-05,-0.000185672,-3.49228E-05,0.000730891,-0.001856767,,0.628318531,-5.15755E-07,-8.20871E-07
0.10292,-3.04135E-05,-0.000191094,-3.59425E-05,0.000730891,-0.001856728,,0.646665432,-5.30816E-07,-8.20854E-07
0.105925,-3.13015E-05,-0.000196673,-3.69921E-05,0.000730891,-0.001856922,,0.665546404,-5.46314E-07,-8.2094E-07
0.109018,-3.22156E-05,-0.000202417,-3.80723E-05,0.000730891,-0.001856342,,0.684980296,-5.62268E-07,-8.20683E-07
0.112202,-3.31563E-05,-0.000208327,-0.000039184,0.000730891,-0.001856954,,0.704985958,-5.78687E-07,-8.20954E-07
0.115478,-3.41245E-05,-0.000214411,-4.03282E-05,0.000730891,-0.001856633,,0.725569673,-5.95585E-07,-8.20812E-07
0.11885,-3.51209E-05,-0.000220671,-4.15058E-05,0.000730891,-0.001856536,,0.746756574,-6.12975E-07,-8.20769E-07
0.122321,-3.61465E-05,-0.000227115,-4.27178E-05,0.000730891,-0.001856636,,0.76856551,-6.30875E-07,-8.20813E-07
0.125893,-0.000037202,-0.000233747,-4.39652E-05,0.000730891,-0.001856753,,0.791009048,-6.49297E-07,-8.20865E-07
0.129569,-3.82883E-05,-0.000240572,-0.000045249,0.000730891,-0.001856886,,0.814106037,-6.68257E-07,-8.20924E-07
0.133352,-3.94063E-05,-0.000247597,-4.65703E-05,0.000730891,-0.001856718,,0.837875327,-6.8777E-07,-8.2085E-07
0.137246,-0.000040557,-0.000254827,-4.79301E-05,0.000730891,-0.001856581,,0.862342051,-7.07853E-07,-8.20789E-07
0.141254,-4.17413E-05,-0.000262268,-4.93297E-05,0.000730891,-0.001856922,,0.887525057,-7.28523E-07,-8.2094E-07
0.145378,-4.29601E-05,-0.000269926,-5.07702E-05,0.000730891,-0.001856396,,0.913436914,-7.49795E-07,-8.20707E-07
0.149624,-4.42146E-05,-0.000277809,-5.22527E-05,0.000730891,-0.001856768,,0.940115318,-7.7169E-07,-8.20872E-07
0.153993,-4.55057E-05,-0.000285921,-5.37785E-05,0.000730891,-0.001857005,,0.967566555,-7.94224E-07,-8.20977E-07
0.158489,-4.68345E-05,-0.00029427,-5.53489E-05,0.000730891,-0.001856717,,0.995815756,-8.17416E-07,-8.20849E-07
0.163117,-4.82021E-05,-0.000302863,-5.69651E-05,0.000730891,-0.001856725,,1.024894338,-8.41285E-07,-8.20853E-07
0.16788,-4.96096E-05,-0.000311706,-5.86285E-05,0.000730891,-0.001856378,,1.054821149,-8.65851E-07,-8.20699E-07
0.172783,-5.10582E-05,-0.000320808,-6.03405E-05,0.000730891,-0.001856933,,1.085627607,-8.91134E-07,-8.20945E-07
0.177828,-5.25492E-05,-0.000330176,-6.21024E-05,0.000730891,-0.001856522,,1.117326277,-9.17157E-07,-8.20763E-07
0.183021,-5.40836E-05,-0.000339817,-6.39159E-05,0.000730891,-0.001856855,,1.149954858,-9.43937E-07,-8.2091E-07
0.188365,-5.56629E-05,-0.00034974,-6.57823E-05,0.000730891,-0.001856853,,1.1835322,-9.71501E-07,-8.20909E-07
0.193865,-5.72883E-05,-0.000359953,-6.77031E-05,0.000730891,-0.001856653,,1.21808972,-9.99869E-07,-8.20821E-07
0.199526,-5.89611E-05,-0.000370464,-6.96801E-05,0.000730891,-0.001856489,,1.253658832,-1.02907E-06,-8.20748E-07
0.205353,-6.06828E-05,-0.000381281,-7.17148E-05,0.000730891,-0.001856872,,1.290270952,-1.05911E-06,-8.20918E-07
0.211349,-6.24548E-05,-0.000392415,-7.38089E-05,0.000730891,-0.001856854,,1.327944931,-1.09004E-06,-8.2091E-07
0.21752,-6.42785E-05,-0.000403874,-7.59642E-05,0.000730891,-0.001856665,,1.366718468,-1.12187E-06,-8.20826E-07
0.223872,-6.61555E-05,-0.000415667,-7.81824E-05,0.000730891,-0.001856697,,1.406629261,-1.15463E-06,-8.2084E-07
0.230409,-6.80872E-05,-0.000427804,-8.04653E-05,0.000730891,-0.001856752,,1.447702443,-1.18835E-06,-8.20865E-07
0.237137,-7.00754E-05,-0.000440297,-8.28149E-05,0.000730891,-0.001856647,,1.489975714,-1.22305E-06,-8.20818E-07
0.244062,-7.21217E-05,-0.000453154,-8.52332E-05,0.000730891,-0.001856656,,1.533486772,-1.25876E-06,-8.20822E-07
0.251189,-7.42277E-05,-0.000466386,-0.000087722,0.000730891,-0.001856855,,1.578267034,-1.29552E-06,-8.2091E-07
0.258523,-7.63951E-05,-0.000480005,-9.02836E-05,0.000730891,-0.001856494,,1.624347915,-1.33335E-06,-8.20751E-07
0.266073,-7.86259E-05,-0.000494021,-9.29199E-05,0.000730891,-0.001856811,,1.671785964,-1.37228E-06,-8.20891E-07
0.273842,-8.09218E-05,-0.000508447,-9.56332E-05,0.000730891,-0.001856824,,1.720600031,-1.41235E-06,-8.20897E-07
0.281838,-8.32848E-05,-0.000523294,-9.84257E-05,0.000730891,-0.001856708,,1.770840381,-1.45359E-06,-8.20845E-07
0.290068,-8.57168E-05,-0.000538575,-0.0001013,0.000730891,-0.001856692,,1.822550996,-1.49604E-06,-8.20838E-07
0.298538,-8.82197E-05,-0.000554301,-0.000104258,0.000730891,-0.001856632,,1.875769575,-1.53972E-06,-8.20811E-07
0.307256,-9.07958E-05,-0.000570487,-0.000107302,0.000730891,-0.001856733,,1.930546385,-1.58469E-06,-8.20856E-07
0.316228,-9.34471E-05,-0.000587145,-0.000110436,0.000730891,-0.001856717,,1.986919123,-1.63096E-06,-8.20849E-07
0.325462,-9.61758E-05,-0.00060429,-0.00011366,0.000730891,-0.001856855,,2.044938056,-1.67858E-06,-8.2091E-07
0.334965,-9.89842E-05,-0.000621936,-0.000116979,0.000730891,-0.001856822,,2.104647166,-1.7276E-06,-8.20896E-07
0.344747,-0.000101875,-0.0006401,-0.000120395,0.000730891,-0.001856367,,2.166109285,-1.77805E-06,-8.20695E-07
0.354813,-0.000104849,-0.000658786,-0.000123911,0.000730891,-0.001856878,,2.229355828,-1.82996E-06,-8.2092E-07
0.365174,-0.000107911,-0.000678025,-0.000127529,0.000730891,-0.00185673,,2.294455911,-1.8834E-06,-8.20855E-07
0.375837,-0.000111062,-0.000697823,-0.000131253,0.000730891,-0.001856617,,2.361453516,-1.9384E-06,-8.20805E-07
0.386812,-0.000114305,-0.000718199,-0.000135085,0.000730891,-0.001856863,,2.430411475,-1.995E-06,-8.20914E-07
0.398107,-0.000117643,-0.000739173,-0.00013903,0.000730891,-0.00185658,,2.501380053,-2.05326E-06,-8.20789E-07
0.409732,-0.000121078,-0.000760756,-0.00014309,0.000730891,-0.001856861,,2.574422082,-2.11321E-06,-8.20913E-07
0.421697,-0.000124614,-0.000782973,-0.000147268,0.000730891,-0.00185643,,2.649600394,-2.17492E-06,-8.20722E-07
0.43401,-0.000128252,-0.000805831,-0.000151568,0.00073089,-0.001857094,,2.726965255,-2.23842E-06,-8.21016E-07
0.446684,-0.000131998,-0.000829368,-0.000155994,0.00073089,-0.001856582,,2.806598346,-2.3038E-06,-8.20789E-07
0.459727,-0.000135852,-0.000853583,-0.000160549,0.00073089,-0.001856779,,2.888549932,-2.37106E-06,-8.20876E-07
0.473151,-0.000139819,-0.000878509,-0.000165238,0.00073089,-0.001856716,,2.972895411,-2.4403E-06,-8.20849E-07
0.486968,-0.000143902,-0.000904163,-0.000170063,0.00073089,-0.001856807,,3.059710183,-2.51156E-06,-8.20889E-07
0.501187,-0.000148104,-0.000930565,-0.000175028,0.00073089,-0.001856405,,3.149050795,-2.5849E-06,-8.20711E-07
0.515822,-0.000152428,-0.000957733,-0.000180139,0.00073089,-0.001856756,,3.241005212,-2.66037E-06,-8.20866E-07
0.530884,-0.000156879,-0.0009857,-0.0001854,0.00073089,-0.001856626,,3.335642549,-2.73806E-06,-8.20809E-07
0.546387,-0.00016146,-0.001014483,-0.000190813,0.00073089,-0.001856915,,3.43305077,-2.81801E-06,-8.20937E-07
0.562341,-0.000166175,-0.001044108,-0.000196385,0.00073089,-0.001856526,,3.533292709,-2.9003E-06,-8.20765E-07
0.578762,-0.000171027,-0.001074594,-0.00020212,0.00073089,-0.0018567,,3.636468895,-2.98498E-06,-8.20842E-07
0.595662,-0.000176021,-0.001105973,-0.000208022,0.00073089,-0.001856708,,3.742654726,-3.07215E-06,-8.20845E-07
0.613056,-0.000181161,-0.001138268,-0.000214096,0.00073089,-0.001856771,,3.851944452,-3.16186E-06,-8.20873E-07
0.630957,-0.000186451,-0.001171506,-0.000220348,0.00073089,-0.001856822,,3.964419752,-3.25418E-06,-8.20896E-07
