frequency;V(/Sc1-) (phase);V(/Sc1-) (gain);V(/Sc2-) (phase);V(/Sc2-) (gain);
0.1;-2.95506e-05;-13.9602;-3.49228e-05;0.000730891;
0.10292;-3.04135e-05;-13.9602;-3.59425e-05;0.000730891;
0.105925;-3.13015e-05;-13.9602;-3.69921e-05;0.000730891;
0.109018;-3.22156e-05;-13.9602;-3.80723e-05;0.000730891;
0.112202;-3.31563e-05;-13.9602;-3.9184e-05;0.000730891;
0.115478;-3.41245e-05;-13.9602;-4.03282e-05;0.000730891;
0.11885;-3.51209e-05;-13.9602;-4.15058e-05;0.000730891;
0.122321;-3.61465e-05;-13.9602;-4.27178e-05;0.000730891;
0.125893;-3.7202e-05;-13.9602;-4.39652e-05;0.000730891;
0.129569;-3.82883e-05;-13.9602;-4.5249e-05;0.000730891;
0.133352;-3.94063e-05;-13.9602;-4.65703e-05;0.000730891;
0.137246;-4.0557e-05;-13.9602;-4.79301e-05;0.000730891;
0.141254;-4.17413e-05;-13.9602;-4.93297e-05;0.000730891;
0.145378;-4.29601e-05;-13.9602;-5.07702e-05;0.000730891;
0.149624;-4.42146e-05;-13.9602;-5.22527e-05;0.000730891;
0.153993;-4.55057e-05;-13.9602;-5.37785e-05;0.000730891;
0.158489;-4.68345e-05;-13.9602;-5.53489e-05;0.000730891;
0.163117;-4.82021e-05;-13.9602;-5.69651e-05;0.000730891;
0.16788;-4.96096e-05;-13.9602;-5.86285e-05;0.000730891;
0.172783;-5.10582e-05;-13.9602;-6.03405e-05;0.000730891;
0.177828;-5.25492e-05;-13.9602;-6.21024e-05;0.000730891;
0.183021;-5.40836e-05;-13.9602;-6.39159e-05;0.000730891;
0.188365;-5.56629e-05;-13.9602;-6.57823e-05;0.000730891;
0.193865;-5.72883e-05;-13.9602;-6.77031e-05;0.000730891;
0.199526;-5.89611e-05;-13.9602;-6.96801e-05;0.000730891;
0.205353;-6.06828e-05;-13.9602;-7.17148e-05;0.000730891;
0.211349;-6.24548e-05;-13.9602;-7.38089e-05;0.000730891;
0.21752;-6.42785e-05;-13.9602;-7.59642e-05;0.000730891;
0.223872;-6.61555e-05;-13.9602;-7.81824e-05;0.000730891;
0.230409;-6.80872e-05;-13.9602;-8.04653e-05;0.000730891;
0.237137;-7.00754e-05;-13.9602;-8.28149e-05;0.000730891;
0.244062;-7.21217e-05;-13.9602;-8.52332e-05;0.000730891;
0.251189;-7.42277e-05;-13.9602;-8.7722e-05;0.000730891;
0.258523;-7.63951e-05;-13.9602;-9.02836e-05;0.000730891;
0.266073;-7.86259e-05;-13.9602;-9.29199e-05;0.000730891;
0.273842;-8.09218e-05;-13.9602;-9.56332e-05;0.000730891;
0.281838;-8.32848e-05;-13.9602;-9.84257e-05;0.000730891;
0.290068;-8.57168e-05;-13.9602;-0.0001013;0.000730891;
0.298538;-8.82197e-05;-13.9602;-0.000104258;0.000730891;
0.307256;-9.07958e-05;-13.9602;-0.000107302;0.000730891;
0.316228;-9.34471e-05;-13.9602;-0.000110436;0.000730891;
0.325462;-9.61758e-05;-13.9602;-0.00011366;0.000730891;
0.334965;-9.89842e-05;-13.9602;-0.000116979;0.000730891;
0.344747;-0.000101875;-13.9602;-0.000120395;0.000730891;
0.354813;-0.000104849;-13.9602;-0.000123911;0.000730891;
0.365174;-0.000107911;-13.9602;-0.000127529;0.000730891;
0.375837;-0.000111062;-13.9602;-0.000131253;0.000730891;
0.386812;-0.000114305;-13.9602;-0.000135085;0.000730891;
0.398107;-0.000117643;-13.9602;-0.00013903;0.000730891;
0.409732;-0.000121078;-13.9602;-0.00014309;0.000730891;
0.421697;-0.000124614;-13.9602;-0.000147268;0.000730891;
0.43401;-0.000128252;-13.9602;-0.000151568;0.00073089;
0.446684;-0.000131998;-13.9602;-0.000155994;0.00073089;
0.459727;-0.000135852;-13.9602;-0.000160549;0.00073089;
0.473151;-0.000139819;-13.9602;-0.000165238;0.00073089;
0.486968;-0.000143902;-13.9602;-0.000170063;0.00073089;
0.501187;-0.000148104;-13.9602;-0.000175028;0.00073089;
0.515822;-0.000152428;-13.9602;-0.000180139;0.00073089;
0.530884;-0.000156879;-13.9602;-0.0001854;0.00073089;
0.546387;-0.00016146;-13.9602;-0.000190813;0.00073089;
0.562341;-0.000166175;-13.9602;-0.000196385;0.00073089;
0.578762;-0.000171027;-13.9602;-0.00020212;0.00073089;
0.595662;-0.000176021;-13.9602;-0.000208022;0.00073089;
0.613056;-0.000181161;-13.9602;-0.000214096;0.00073089;
0.630957;-0.000186451;-13.9602;-0.000220348;0.00073089;
0.649382;-0.000191896;-13.9602;-0.000226782;0.00073089;
0.668344;-0.000197499;-13.9602;-0.000233404;0.00073089;
0.68786;-0.000203266;-13.9602;-0.00024022;0.000730889;
0.707946;-0.000209202;-13.9602;-0.000247234;0.000730889;
0.728618;-0.000215311;-13.9602;-0.000254454;0.000730889;
0.749894;-0.000221598;-13.9602;-0.000261884;0.000730889;
0.771792;-0.000228069;-13.9602;-0.000269531;0.000730889;
0.794328;-0.000234728;-13.9602;-0.000277401;0.000730889;
0.817523;-0.000241583;-13.9602;-0.000285502;0.000730889;
0.841395;-0.000248637;-13.9602;-0.000293838;0.000730889;
0.865964;-0.000255897;-13.9602;-0.000302419;0.000730888;
0.891251;-0.00026337;-13.9602;-0.000311249;0.000730888;
0.917276;-0.00027106;-13.9602;-0.000320338;0.000730888;
0.944061;-0.000278975;-13.9602;-0.000329692;0.000730888;
0.971628;-0.000287121;-13.9602;-0.000339319;0.000730888;
1;-0.000295506;-13.9602;-0.000349228;0.000730887;
