Designator,Mid X,Mid Y,Rotation,Layer
C1,246.38,-44.593,90.0,top
C10,219.4754,-47.7266,270.0,top
C11,220.4914,-47.7266,270.0,top
C12,230.251,-66.5475,270.0,top
C13,229.235,-66.548,90.0,top
C14,216.281,-63.2937,0.0,top
C15,216.7154,-65.786,0.0,top
C16,216.7154,-67.818,0.0,top
C17,220.881,-71.0915,90.0,top
C18,225.326,-71.0635,270.0,top
C19,221.897,-71.0915,90.0,top
C2,246.38,-42.335,270.0,top
C20,223.04,-71.0635,90.0,top
C21,224.183,-71.374,90.0,top
C22,208.661,-30.734,90.0,top
C23,208.661,-34.925,90.0,top
C24,219.837,-42.434,0.0,top
C25,232.763,-68.326,180.0,top
C26,238.76,-67.564,0.0,top
C3,244.376,-47.895,180.0,top
C4,244.348,-46.879,180.0,top
C5,239.24,-47.895,0.0,top
C6,239.268,-46.879,0.0,top
C8,237.236,-45.129,270.0,top
C9,219.964,-49.657,270.0,top
D3,236.601,-57.658,90.0,top
D4,241.681,-57.658,90.0,top
D5,211.201,-35.56,270.0,top
FB1,244.856,-50.181,90.0,top
FB2,215.265,-70.739,0.0,top
J1,206.375,-64.897,0.0,bottom
J3,223.901,-34.179,0.0,top
J4,240.157,-35.449,270.0,top
J5,242.189,-71.247,90.0,top
J6,251.079,-47.26,0.0,bottom
J8,206.375,-32.766,180.0,bottom
R1,234.569,-37.862,0.0,top
R11,224.917,-29.988,180.0,top
R12,221.615,-29.988,180.0,top
R14,216.7154,-66.802,180.0,top
R15,235.204,-56.261,270.0,top
R16,240.284,-56.2865,270.0,top
R17,209.804,-35.941,270.0,top
R2,249.174,-68.961,180.0,top
R3,248.158,-45.101,180.0,top
R4,248.158,-44.085,180.0,top
R5,248.158,-42.815,180.0,top
R6,248.158,-41.799,180.0,top
R7,246.507,-68.961,180.0,top
SW1,210.693,-42.18,180.0,top
SW2,210.7265,-49.546,180.0,top
U4,241.77625,-42.773999,180.0,top
U5,226.314,-47.641,270.0,top
U6,242.951,-64.516,180.0,top
U7,222.885,-64.77,270.0,top
Y1,219.583,-44.593,0.0,top
Y2,232.881,-66.004,180.0,top
